Method,EOS,Temperature_K,a,b,SSE,RMSE,R_squared,Adjusted_R_squared,R_factor,Std_Error_a,Std_Error_b,Iterations,Converged
Gradient Descent,van der Waals,130.0,0.3554759487661772,0.00019599406261166976,1131594856.6594307,3363.9186325763453,0.9998372364563349,0.9998355756038486,0.005958276504008936,0.015237546512509024,1.0097529742343526e-05,5000,False
Gauss-Newton,van der Waals,130.0,0.14098001790878792,3.636623921409876e-05,2097276.7743839775,144.81977677043898,0.9999996983370878,0.9999996952588949,0.00022876261169068774,0.003884784258401976,3.394005934116033e-06,15,True
Levenberg-Marquardt,van der Waals,130.0,0.14098001790883255,3.636623921413773e-05,2097276.774384063,144.81977677044193,0.9999996983370878,0.9999996952588949,0.00022876261169067452,0.0038847842584146496,3.3940059341268938e-06,27,True
