Method,EOS,Temperature_K,a,b,SSE,RMSE,R_squared,Adjusted_R_squared,R_factor,Std_Error_a,Std_Error_b,Iterations,Converged
Gradient Descent,Dieterici,200.0,1.2049974570450626,0.0004086484749323223,5015044461.663633,2249.5754643020855,0.999914499183373,0.9999144127315868,0.004217289583228801,0.011810110298998172,5.640702222356916e-06,5000,False
Gauss-Newton,Dieterici,200.0,10.0,0.001,186617947468692.0,433950.1841567289,-2.181624216451771,-2.1848412277929756,0.7875424810577359,3.568329424771289,0.00119334164144995,0,False
Levenberg-Marquardt,Dieterici,200.0,0.5437343483614895,6.01121771289899e-05,21724157.20570116,148.05894183744314,0.9999996296277738,0.9999996292532822,0.00025001182622275017,0.006166930203847864,3.5974992546109686e-06,35,True
