Method,EOS,Temperature_K,a,b,SSE,RMSE,R_squared,Adjusted_R_squared,R_factor,Std_Error_a,Std_Error_b,Iterations,Converged
Gradient Descent,Berthelot,300.0,1128.9893223852891,0.0009009292314057036,959113879.7340152,1458.299802600998,0.9998457351733153,0.999845391599091,0.004920907818765006,19.086608078077415,1.832316102337734e-05,5000,False
Gauss-Newton,Berthelot,300.0,360.3723934866733,3.510966404805368e-05,2826881.6067472943,79.17089219006809,0.9999995453215615,0.9999995443089147,0.00023568311188711325,29.65658291586831,3.916768693141673e-05,10,True
Levenberg-Marquardt,Berthelot,300.0,360.3723934862034,3.5109664047433156e-05,2826881.6067472515,79.17089219006749,0.9999995453215615,0.9999995443089147,0.00023568311188709384,29.656582920065112,3.916768693696766e-05,16,True
