Method,EOS,Temperature_K,a,b,SSE,RMSE,R_squared,Adjusted_R_squared,R_factor,Std_Error_a,Std_Error_b,Iterations,Converged
Gradient Descent,Redlich-Kwong,250.0,1.0135719747756085,-0.00021621509950055443,156235439.68608165,397.057084868003,0.999997553966807,0.9999975514935682,0.0006918705749812513,0.044233053766251695,1.7094541156449944e-06,16,True
Gauss-Newton,Redlich-Kwong,250.0,8.615432742257466,2.6313982224825773e-05,23371203.067586847,153.56905337658912,0.999999634098777,0.9999996337288061,0.00025163177415285656,0.03700943943719014,9.909033095232838e-07,10,True
Levenberg-Marquardt,Redlich-Kwong,250.0,8.615432742257378,2.6313982224823503e-05,23371203.067586873,153.5690533765892,0.999999634098777,0.9999996337288061,0.0002516317741528564,0.037009439437167224,9.909033095226735e-07,10,True
